id_usuario,id_curso,carreira_desejada,area_atuacao,nivel_experiencia,nivel_experiencia_num,idade,anos_experiencia,escolaridade,escolaridade_num,tempo_disponivel_semanal,nivel_curso,nivel_curso_num,carga_horaria,avaliacao_media,taxa_conclusao_media,popularidade_score,match_nivel,match_tempo,match_carreira,score_relevancia,probabilidade_conclusao,concluiu,progresso
1,10142,Arquiteto de Software,Tecnologia da Informação,Intermediário,2,46,14,Superior Completo,5,15,AVANCADO,3,48,4.9,86.9,94,0.3,1.0,1.0,8.93,0.589,0,33.3
1,10139,Arquiteto de Software,Tecnologia da Informação,Intermediário,2,46,14,Superior Completo,5,15,AVANCADO,3,45,4.9,87.6,94,0.3,1.0,1.0,8.85,0.7544,0,83.3
1,10055,Arquiteto de Software,Tecnologia da Informação,Intermediário,2,46,14,Superior Completo,5,15,AVANCADO,3,45,4.9,86.5,92,0.3,1.0,0.3,4.35,0.6989,1,100.0
1,10085,Arquiteto de Software,Tecnologia da Informação,Intermediário,2,46,14,Superior Completo,5,15,AVANCADO,3,48,4.9,86.7,93,0.3,1.0,0.3,4.81,0.6432,1,100.0
2,10066,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,38,6,Ensino Médio,2,5,INTERMEDIARIO,2,50,4.8,87.9,94,1.0,0.5,1.0,9.18,0.7861,1,100.0
2,10071,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,38,6,Ensino Médio,2,5,INTERMEDIARIO,2,20,4.7,90.1,94,1.0,1.0,1.0,9.76,0.9494,1,100.0
2,10073,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,38,6,Ensino Médio,2,5,BASICO,1,15,4.7,93.6,95,1.0,1.0,1.0,10.0,0.9575,1,100.0
2,10003,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,38,6,Ensino Médio,2,5,BASICO,1,15,4.7,90.0,92,1.0,1.0,1.0,8.94,0.8995,1,100.0
2,10085,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,38,6,Ensino Médio,2,5,AVANCADO,3,48,4.9,86.7,93,0.3,0.5,0.3,4.06,0.4498,1,100.0
2,10122,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,38,6,Ensino Médio,2,5,BASICO,1,20,4.7,93.6,96,1.0,1.0,0.3,7.02,0.9287,1,100.0
2,10128,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,38,6,Ensino Médio,2,5,BASICO,1,24,4.7,93.4,96,1.0,0.5,0.3,6.65,0.5874,1,100.0
3,10131,Product Manager,Gestão de Produtos,Intermediário,2,40,10,Ensino Fundamental,1,15,INTERMEDIARIO,2,22,4.8,92.9,96,1.0,1.0,1.0,10.0,0.942,1,100.0
3,10126,Product Manager,Gestão de Produtos,Intermediário,2,40,10,Ensino Fundamental,1,15,INTERMEDIARIO,2,30,4.9,91.6,96,1.0,1.0,1.0,10.0,0.9666,1,100.0
3,10096,Product Manager,Gestão de Produtos,Intermediário,2,40,10,Ensino Fundamental,1,15,BASICO,1,28,4.8,93.8,96,1.0,1.0,0.3,6.69,0.7196,1,100.0
3,10048,Product Manager,Gestão de Produtos,Intermediário,2,40,10,Ensino Fundamental,1,15,INTERMEDIARIO,2,20,4.7,90.9,93,1.0,1.0,0.3,7.4,0.5735,0,71.1
4,10072,Desenvolvedor Mobile,Ciência de Dados,Intermediário,2,53,7,Ensino Fundamental,1,15,INTERMEDIARIO,2,28,4.8,89.2,93,1.0,1.0,1.0,9.71,0.8503,1,100.0
4,10003,Desenvolvedor Mobile,Ciência de Dados,Intermediário,2,53,7,Ensino Fundamental,1,15,BASICO,1,15,4.7,90.0,92,1.0,1.0,1.0,9.51,0.98,1,100.0
4,10112,Desenvolvedor Mobile,Ciência de Dados,Intermediário,2,53,7,Ensino Fundamental,1,15,INTERMEDIARIO,2,35,4.7,88.9,93,1.0,1.0,0.3,7.62,0.5872,1,100.0
4,10183,Desenvolvedor Mobile,Ciência de Dados,Intermediário,2,53,7,Ensino Fundamental,1,15,INTERMEDIARIO,2,24,4.8,92.7,96,1.0,1.0,0.3,7.24,0.8154,1,100.0
5,10145,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,AVANCADO,3,50,4.9,85.8,94,0.3,1.0,1.0,8.27,0.8247,1,100.0
5,10144,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,AVANCADO,3,48,4.9,87.4,95,0.3,1.0,1.0,8.5,0.7139,1,100.0
