id_usuario,carreira_desejada,area_atuacao,nivel_experiencia,nivel_experiencia_num,idade,anos_experiencia,escolaridade,escolaridade_num,tempo_disponivel_semanal,taxa_conclusao_usuario,total_cursos_feitos,score_medio
1,Arquiteto de Software,Tecnologia da Informação,Intermediário,2,46,14,Superior Completo,5,15,0.5,4,6.74
2,Desenvolvedor Mobile,Desenvolvimento de Software,Intermediário,2,38,6,Ensino Médio,2,5,1.0,7,7.94
3,Product Manager,Gestão de Produtos,Intermediário,2,40,10,Ensino Fundamental,1,15,0.75,4,8.52
4,Desenvolvedor Mobile,Ciência de Dados,Intermediário,2,53,7,Ensino Fundamental,1,15,1.0,4,8.52
5,Engenheiro de Machine Learning,Suporte Técnico,Junior,1,20,1,Mestrado,7,15,0.875,8,7.3
6,Desenvolvedor Mobile,Infraestrutura/Cloud,Intermediário,2,47,5,Superior Completo,5,4,0.667,3,7.39
7,Especialista em Cloud,Desenvolvimento de Software,Junior,1,38,0,Mestrado,7,10,0.625,8,7.25
8,Engenheiro de Dados,Design,Senior,3,42,16,Superior Incompleto,4,5,0.8,5,7.9
9,Desenvolvedor Frontend,Tecnologia da Informação,Junior,1,20,0,Ensino Médio,2,5,0.571,7,6.59
10,Engenheiro de Dados,Marketing Digital,Intermediário,2,38,8,Superior Completo,5,12,0.875,8,8.2
11,Engenheiro de Machine Learning,Infraestrutura/Cloud,Intermediário,2,35,3,Ensino Médio,2,20,0.8,5,7.77
12,Desenvolvedor Frontend,Segurança da Informação,Senior,3,31,12,Pós-graduação,6,20,1.0,6,8.86
13,Desenvolvedor Mobile,Outro,Junior,1,19,1,Ensino Fundamental,1,12,0.333,3,6.99
14,Arquiteto de Software,Ciência de Dados,Intermediário,2,25,6,Ensino Médio,2,5,0.75,4,6.31
15,Analista de Segurança,Tecnologia da Informação,Intermediário,2,34,3,Superior Completo,5,4,0.75,4,7.8
16,Arquiteto de Software,Marketing Digital,Junior,1,21,1,Pós-graduação,6,10,0.5,4,6.56
17,Engenheiro de Dados,Ciência de Dados,Junior,1,21,2,Superior Completo,5,4,0.75,8,6.14
18,Product Manager,Suporte Técnico,Intermediário,2,53,13,Superior Incompleto,4,15,0.667,3,7.68
19,DevOps Engineer,Gestão de Produtos,Senior,3,31,7,Superior Incompleto,4,8,0.833,6,8.7
20,Analista de Segurança,Estudante,Senior,3,33,12,Ensino Fundamental,1,4,0.667,6,7.85
21,Analista de Dados,Design,Senior,3,41,12,Superior Incompleto,4,20,1.0,4,8.45
22,QA/Tester,Outro,Senior,3,46,14,Superior Incompleto,4,2,0.5,6,8.35
23,DevOps Engineer,Gestão de Produtos,Intermediário,2,42,6,Doutorado,8,20,0.8,5,8.68
24,Cientista de Dados,Desenvolvimento de Software,Junior,1,41,0,Superior Completo,5,15,0.8,5,7.92
25,Engenheiro de Machine Learning,Qualidade de Software,Senior,3,41,10,Mestrado,7,5,0.667,3,8.38
